enjoyment,age,gender,language,comments,education,assess,workerid
1,31,Female,English,,2,Yes,0
1,56,Male,Spanish,A 5 year old could have done this.,-1,Yes,1
1,22,Female,English,,3,Yes,2
-1,,,,,-1,,3
1,38,Male,English,,2,Yes,4
2,49,Female,english,,1,Yes,5
2,32,Female,English,,4,No,6
-1,,,,,-1,,7
1,26,Female,english,,3,Yes,8
1,26,Female,English,,2,Yes,9
2,56,Female,English,This is an interesting hit that makes one think.  Do y'all have any plans on doing a practice run with feedback before starting the main task?  Thanks for the opportunity.  ,2,Yes,10
2,41,Female,English,,2,Yes,11
2,45,Female,English ,Very interesting. ,3,Yes,12
1,32,Male,English,,3,Yes,13
2,24,Female,English,Did I understand? I said definitely but the wording few strange. Should word it more clearly but the concept was technically right.,2,Yes,14
2,27,Female,English,,4,Yes,15
2,63,Female,United States,None,4,Yes,16
2,27,Female,English,no comment,2,Yes,17
1,34,Female,english,NA,1,Confused,18
2,42,Female,english,,1,Yes,19
2,27,Female,English,,3,Yes,20
2,22,Female,English,,2,Yes,21
1,42,Male,English,,3,Yes,22
1,34,Male,English,,2,Yes,23
2,57,Female,English,,2,Yes,24
2,27,Female,english,,2,Yes,25
2,31,Male,English,Thought provoking ,3,Yes,26
1,34,Female,English,,4,Yes,27
2,21,Female,English,,2,Yes,28
1,44,Male,Filipino,,3,Yes,29
1,41,Female,English,,2,Yes,30
1,42,Female,English ,,3,Yes,31
2,69,Female,English,,3,Yes,32
2,57,Female,English,That was different.,2,Yes,33
1,23,Female,English,,3,Yes,34
2,42,Female,Russian,,4,Yes,35
2,33,Male,English,Thank you for a fun and challenging survey.,2,Yes,36
2,29,Male,english,,4,Yes,37
2,46,Male,English,,3,Yes,38
1,34,Female,english,,3,Yes,39
1,45,Female,english,,1,Yes,40
2,35,Male,English,very funny indeed to do,2,Yes,41
1,25,Female,english,,2,No,42
2,35,Male,English,,2,Yes,43
2,28,Male,Russian,,2,Yes,44
1,29,Female,english,,2,Yes,45
2,29,Female,English,It is interesting.,3,Confused,46
2,41,Male,English,N/A,3,Yes,47
2,52,Male,Chinese,should have more questions and answers between those two. ,4,Yes,48
1,28,Male,english,,2,Yes,49
1,26,Male,English,,3,Yes,50
2,33,Male,english,,3,Yes,51
-1,,Female,,,-1,Yes,52
2,38,Male,English,,4,Yes,53
2,28,Female,English,Did I get it right?,1,Yes,54
1,58,Male,English,I like quick and easy HITs like this. ,3,Yes,55
2,39,Female,eNGLISH,,2,Yes,56
1,26,Male,English,,2,Yes,57
2,61,Male,English,Interesting.,3,Yes,58
2,32,Male,English,Thank you for keeping it short,2,Yes,59
1,32,Female,English,,3,,60
2,30,Female,English,,4,Yes,61
1,40,Female,English,,3,Yes,62
-1,31,Male,English,,3,Yes,63
2,39,Female,english,interesting!,1,Yes,64
1,48,Male,United States,,4,Confused,65
2,26,Female,United States,,3,Yes,66
2,46,Male,English ,,2,Yes,67
2,28,Female,english,,3,Yes,68
1,44,Male,English,,1,Yes,69
-1,,,,,-1,Yes,70
2,20,Male,English,,1,Yes,71
1,31,Female,English,,2,Yes,72
1,25,Male,English,,1,Yes,73
2,,,,,-1,Yes,74
1,29,Male,English,,3,Yes,75
2,26,Female,English,,2,Yes,76
2,45,Female,English ,,3,Yes,77
2,21,Male,English,,2,Yes,78
1,,Male,,,-1,Yes,79
1,39,Male,English,,1,Yes,80
1,29,Male,English,,3,Yes,81
