screenW,screenH,Browser,OS,workerid
1366,768,Chrome,Windows,0
1280,800,Chrome,Mac,1
1440,900,Chrome,Mac,2
1366,768,Chrome,Linux,3
1920,1080,Chrome,Windows,4
1366,768,Chrome,Windows,5
1280,800,Chrome,Mac,6
412,732,Chrome,Linux,7
2560,1440,Firefox,Windows,8
1366,768,Chrome,Windows,9
1920,1080,Chrome,Windows,10
1366,768,Chrome,Linux,11
360,640,Chrome,Linux,12
1680,1050,Chrome,Windows,13
1366,768,Chrome,Windows,14
1366,768,Chrome,Windows,15
1366,768,Chrome,Windows,16
1600,900,Chrome,Windows,17
1366,768,Chrome,Linux,18
1600,900,Chrome,Windows,19
1525,858,Firefox,Windows,20
1366,768,Safari,Mac,21
1536,864,Chrome,Windows,22
360,640,Chrome,Linux,23
1280,720,Chrome,Windows,24
1366,768,Chrome,Windows,25
1440,900,Chrome,Mac,26
1600,1200,Chrome,Windows,27
1280,800,Chrome,Mac,28
1920,1080,Chrome,Windows,29
1920,1080,Chrome,Windows,30
360,640,Chrome,Linux,31
1366,768,Chrome,Windows,32
1093,615,Chrome,Windows,33
1440,900,Chrome,Mac,34
1366,768,Firefox,Windows,35
1440,900,Chrome,Mac,36
1280,720,Chrome,Windows,37
1366,768,Chrome,Windows,38
1366,768,Chrome,Windows,39
1300,731,Chrome,Linux,40
1366,768,Chrome,Windows,41
1920,1080,Chrome,Windows,42
1920,1080,Chrome,Windows,43
1920,1080,Chrome,Windows,44
1366,768,Chrome,Windows,45
1280,800,Chrome,Windows,46
1366,768,Firefox,Windows,47
1920,1080,Firefox,Windows,48
1280,1024,Chrome,Windows,49
2560,1440,Chrome,Windows,50
1920,1080,Chrome,Windows,51
414,736,Safari,iPhone/iPod,52
1920,1080,Chrome,Windows,53
1920,1080,Chrome,Windows,54
1366,768,Chrome,Windows,55
1920,1080,Chrome,Windows,56
1366,768,Firefox,Windows,57
1920,1080,Firefox,Linux,58
1280,720,Chrome,Linux,59
1600,900,Chrome,Windows,60
1280,800,Firefox,Windows,61
1366,768,Chrome,Windows,62
1920,1080,Firefox,Windows,63
1280,720,Firefox,Windows,64
1920,1080,Chrome,Windows,65
1366,768,Chrome,Windows,66
414,736,Safari,iPhone/iPod,67
1280,800,Chrome,Mac,68
1920,1080,Chrome,Windows,69
1366,768,Firefox,Windows,70
1366,768,Chrome,Windows,71
1280,720,Chrome,Windows,72
1920,1080,Chrome,Windows,73
1920,1080,Chrome,Windows,74
1280,800,Chrome,Mac,75
1366,768,Chrome,Windows,76
414,896,Safari,iPhone/iPod,77
1280,1024,Chrome,Windows,78
1024,1366,Safari,an unknown OS,79
1280,800,Firefox,Mac,80
1920,1080,Firefox,Windows,81
375,667,Safari,iPhone/iPod,82
1920,1080,Chrome,Windows,83
1680,1050,Chrome,Windows,84
1366,768,Chrome,Windows,85
2560,1440,Chrome,Mac,86
1366,768,Chrome,Windows,87
1280,720,Chrome,Windows,88
360,740,Chrome,Linux,89
1366,768,Chrome,Linux,90
1366,768,Chrome,Windows,91
1366,768,Chrome,Windows,92
1920,1080,Chrome,Windows,93
414,736,Safari,iPhone/iPod,94
1366,768,Chrome,Windows,95
1440,900,Chrome,Mac,96
1440,900,Chrome,Mac,97
1280,720,Chrome,Windows,98
1440,900,Chrome,Windows,99
1366,768,Chrome,Windows,100
1366,768,Chrome,Windows,101
1280,720,Chrome,Windows,102
601,962,Chrome,Linux,103
1440,900,Chrome,Mac,104
412,846,Chrome,Linux,105
1024,1366,Safari,Mac,106
1536,864,Chrome,Windows,107
2560,1440,Chrome,Mac,108
1366,768,Firefox,Windows,109
1440,900,Chrome,Mac,110
1368,912,Chrome,Windows,111
412,823,Chrome,Linux,112
1920,1080,Chrome,Windows,113
816,459,Chrome,Windows,114
1920,1080,Firefox,Windows,115
1536,864,Chrome,Linux,116
1920,1080,Firefox,Windows,117
1366,768,Chrome,Windows,118
1366,768,Chrome,Windows,119
1920,1080,Chrome,Windows,120
414,896,Safari,iPhone/iPod,121
1366,768,Chrome,Mac,122
1366,768,Chrome,Windows,123
1366,768,Chrome,Linux,124
1360,768,Chrome,Windows,125
1920,1080,Chrome,Windows,126
1364,768,Chrome,Windows,127
1366,768,Chrome,Windows,128
1440,900,Chrome,Mac,129
1440,900,Safari,Mac,130
601,962,Chrome,Linux,131
375,667,Safari,iPhone/iPod,132
1366,768,Chrome,Windows,133
1366,768,Chrome,Windows,134
1366,768,Chrome,Windows,135
1280,800,Chrome,Windows,136
1366,768,Firefox,Windows,137
1696,954,Firefox,Windows,138
414,896,Safari,iPhone/iPod,139
375,812,Safari,iPhone/iPod,140
1280,720,Chrome,Windows,141
1680,1050,Chrome,Windows,142
1368,912,Chrome,Windows,143
1366,768,Chrome,Windows,144
1920,1080,Firefox,Windows,145
1438,808,Chrome,Windows,146
1440,900,Chrome,Mac,147
1920,1080,Chrome,Windows,148
1368,912,Firefox,Windows,149
1366,768,Chrome,Windows,150
1440,900,Chrome,Mac,151
768,1024,Safari,Mac,152
1600,900,Chrome,Windows,153
1920,1200,Chrome,Mac,154
1600,900,Chrome,Windows,155
1280,800,Chrome,Mac,156
768,1024,Safari,Mac,157
1600,900,Chrome,Windows,158
1920,1080,Chrome,Windows,159
1920,1200,Chrome,Windows,160
1366,768,Chrome,Windows,161
1366,768,Chrome,Windows,162
1600,900,Chrome,Windows,163
375,667,Safari,iPhone/iPod,164
1920,1080,Chrome,Windows,165
1366,768,Chrome,Windows,166
1440,900,Chrome,Mac,167
1680,1050,Firefox,Windows,168
1440,900,Chrome,Mac,169
1440,900,Chrome,Mac,170
1366,768,Chrome,Windows,171
2560,1440,Chrome,Mac,172
800,1280,Chrome,Linux,173
960,540,Firefox,Mac,174
1366,768,Chrome,Windows,175
1280,720,Chrome,Windows,176
1280,720,Firefox,Windows,177
1536,864,Chrome,Windows,178
1366,768,Chrome,Windows,179
1680,1050,Chrome,Windows,180
601,962,Chrome,Linux,181
1600,900,Chrome,Windows,182
1280,1024,Chrome,Windows,183
1280,800,Safari,Mac,184
1244,778,Chrome,Windows,185
2560,1440,Chrome,Windows,186
1600,1200,Chrome,Windows,187
1536,864,Chrome,Windows,188
1440,900,Chrome,Mac,189
1440,900,Chrome,Mac,190
1440,900,Chrome,Mac,191
1536,864,Chrome,Windows,192
1536,864,Chrome,Windows,193
1280,800,Safari,Mac,194
601,962,Chrome,Linux,195
1280,800,Safari,Mac,196
1024,820,Chrome,Windows,197
2752,1152,Firefox,Windows,198
1093,614,Chrome,Windows,199
1920,1080,Chrome,Windows,200
1366,768,Chrome,Windows,201
1500,1000,Chrome,Windows,202
1600,900,Chrome,Windows,203
1600,900,Chrome,Windows,204
1920,1080,Chrome,Windows,205
1280,720,Chrome,Windows,206
1366,768,Chrome,Windows,207
1280,720,Chrome,Windows,208
1366,768,Chrome,Windows,209
1920,1200,Chrome,Windows,210
1366,768,Chrome,Linux,211
1366,768,Chrome,Windows,212
1024,768,Chrome,Windows,213
1440,900,Chrome,Mac,214
412,892,Chrome,Linux,215
960,1708,Firefox,Linux,216
1280,800,Firefox,Windows,217
1366,768,Chrome,Windows,218
600,1024,Chrome,Linux,219
1280,1024,Chrome,Windows,220
1536,864,Chrome,Windows,221
1364,768,Chrome,Windows,222
1368,912,Chrome,Windows,223
1600,900,Chrome,Windows,224
1366,768,Chrome,Windows,225
1536,864,Chrome,Windows,226
1366,768,Chrome,Windows,227
