Browser,workerid,screenW,OS,screenH
Chrome,0,1920,Windows,1080
Firefox,1,1920,Windows,1080
Chrome,2,1366,Windows,768
Chrome,3,1280,Mac,800
Chrome,4,1280,Windows,800
Chrome,5,1366,Windows,768
Chrome,6,1440,Mac,900
Chrome,7,1366,Windows,768
Chrome,8,1024,Windows,640
Chrome,9,1280,Windows,1024
Chrome,10,1600,Windows,900
Chrome,11,1920,Windows,1080
Safari,12,1440,Mac,900
Chrome,13,1536,Windows,864
Chrome,14,1366,Windows,768
Chrome,15,1366,Windows,768
Chrome,16,1366,Windows,768
Chrome,17,1366,Windows,768
Chrome,18,1536,Windows,864
Chrome,19,1920,Windows,1080
Chrome,20,1280,Mac,800
Chrome,21,360,Linux,720
Chrome,22,1920,Windows,1080
Chrome,23,1280,Windows,800
Chrome,24,1366,Windows,768
Chrome,25,1366,Windows,768
Chrome,26,1366,Windows,768
Chrome,27,1920,Windows,1080
Chrome,28,1093,Windows,615
Chrome,29,1366,Windows,768
Chrome,30,1536,Windows,864
Chrome,31,1366,Windows,768
Chrome,32,1366,Windows,768
Chrome,33,1024,Windows,768
Chrome,34,1280,Windows,800
Chrome,35,1280,Windows,1024
Chrome,36,1024,Windows,820
Firefox,37,1280,Windows,720
Chrome,38,1366,Windows,768
Chrome,39,360,Linux,720
Chrome,40,1366,Windows,768
Firefox,41,1440,Mac,900
Chrome,42,1280,Windows,800
Chrome,43,1366,Windows,768
Chrome,44,1366,Windows,768
Chrome,45,1280,Windows,800
Firefox,46,1366,Windows,768
Chrome,47,1366,Windows,768
Chrome,48,1093,Windows,614
Chrome,49,1920,Windows,1080
Chrome,50,360,Linux,640
Chrome,51,1280,Windows,800
Chrome,52,1280,Windows,1024
Chrome,53,1280,Windows,800
Chrome,54,1440,Mac,900
Chrome,55,1920,Windows,1080
Firefox,56,1056,Windows,594
Chrome,57,1680,Windows,1050
Firefox,58,1920,Linux,1080
Chrome,59,1366,Windows,768
Chrome,60,424,Linux,753
Chrome,61,1536,Windows,864
Chrome,62,1366,Windows,768
Chrome,63,1280,Mac,800
Chrome,64,1920,Windows,1080
Chrome,65,1366,Windows,768
Firefox,66,1280,Windows,800
Chrome,67,1366,Windows,768
Chrome,68,1366,Windows,768
Chrome,69,2560,Windows,1440
Chrome,70,1280,Windows,800
Chrome,71,1440,Windows,900
Chrome,72,1280,Windows,800
Chrome,73,1280,Windows,800
Chrome,74,1280,Windows,768
Chrome,75,1536,Windows,864
Chrome,76,1360,Windows,768
Chrome,77,1366,Windows,768
Chrome,78,1366,Windows,768
Chrome,79,1366,Windows,768
Chrome,80,1366,Windows,768
Chrome,81,1920,Windows,1080
Chrome,82,1600,Windows,900
Chrome,83,1600,Windows,900
Chrome,84,1024,Windows,768
Chrome,85,1366,Windows,768
Chrome,86,1440,Windows,900
Chrome,87,1280,Windows,800
Chrome,88,1366,Windows,768
Chrome,89,1366,Windows,768
Chrome,90,1366,Windows,768
Chrome,91,360,Linux,750
Safari,92,2560,Mac,1440
Chrome,93,1920,Windows,1080
Chrome,94,1600,Windows,900
Chrome,95,1366,Windows,768
Chrome,96,1280,Windows,800
Chrome,97,1366,Windows,768
Chrome,98,1366,Windows,768
Firefox,99,1536,Windows,864
