OS,Browser,workerid,screenW,screenH
Windows,Chrome,0,1366,768
Windows,Chrome,1,1366,768
Windows,Chrome,2,1366,768
Windows,Chrome,3,1280,800
Windows,Chrome,4,1366,768
Windows,Chrome,5,1366,768
Windows,Firefox,6,1920,1200
Mac,Chrome,7,2560,1440
Windows,Chrome,8,1920,1080
Windows,Chrome,9,1366,768
Windows,Chrome,10,1366,768
Windows,Chrome,11,1280,800
Windows,Chrome,12,1360,768
Windows,Chrome,13,1280,800
Windows,Chrome,14,1920,1080
Windows,Chrome,15,1366,768
Windows,Chrome,16,2560,1080
Windows,Chrome,17,1536,864
Windows,Chrome,18,1920,1080
Linux,Chrome,19,412,869
Windows,Chrome,20,1280,1024
Windows,Firefox,21,2144,1206
Windows,Chrome,22,1536,864
Windows,Chrome,23,1504,1003
Linux,Chrome,24,1366,768
Linux,Chrome,25,360,640
Windows,Chrome,26,1366,768
Windows,Chrome,27,1360,768
Windows,Chrome,28,1280,720
Mac,Chrome,29,1440,900
Windows,Chrome,30,1364,768
Windows,Chrome,31,1920,1080
Windows,Chrome,32,2560,1080
Windows,Chrome,33,1920,1080
Windows,Chrome,34,2560,1080
Windows,Chrome,35,1366,768
Windows,Chrome,36,1024,768
Windows,Chrome,37,1280,800
Windows,Chrome,38,1920,1080
Windows,Chrome,39,1366,768
Windows,Chrome,40,1920,1080
Windows,Chrome,41,2560,1080
Windows,Chrome,42,2560,1080
Windows,Chrome,43,2560,1080
Windows,Chrome,44,2195,1235
Windows,Chrome,45,1366,768
Windows,Chrome,46,1280,1024
Windows,Chrome,47,1920,1080
Windows,Chrome,48,1280,720
Windows,Chrome,49,1536,864
