language,enjoyment,education,gender,age,workerid,assess,comments
English,1,2,Male,20,0,Yes,Thank You!
english,1,3,Male,59,1,Yes,good work in survey
English,2,3,Male,33,2,Yes,n/a
english,2,2,Male,48,3,Yes,
English,1,3,Male,32,4,No,
English,2,2,Female,35,5,Yes,
English,2,4,Female,64,6,Yes,
english,2,3,Male,26,7,Yes,interesting task - would do this again
english,2,3,Male,30,8,Yes,
english,1,3,Other,34,9,Yes,THANK YOU
English ,1,3,Female,40,10,Yes,
English,2,3,Female,63,11,Yes,
English,2,3,Male,39,12,Yes,
english,1,3,Male,25,13,Yes,
English,2,1,Female,40,14,Yes,The questions about the reading material were thoughtful and engaging. 
English,2,1,Female,47,15,Yes,
English,2,1,Male,25,16,No,
English,1,3,Female,30,17,Confused,
english,1,3,Male,40,18,Yes,cool beans 
English,2,3,Male,31,19,Yes,
english,2,1,Female,65,20,Yes,"fun, if a little strange."
english,1,4,Female,55,21,Yes,
ENGLISH,2,3,Male,27,22,Yes,GREAT AND INTERESTING
English,2,3,Female,39,23,Yes,very interesting
english,1,3,Male,34,24,Yes,
English,2,2,Female,27,25,Yes,
English,1,2,Female,68,26,Yes,No comments. Thanks
English,2,3,Male,26,27,Yes,
Enlish,2,2,Female,68,28,Yes,
English,2,4,Male,55,29,Yes,"It was engaging and fun to think about, especially the elephant's answers."
English,2,3,Male,25,30,Yes,none
English,2,2,Female,27,31,Yes,None
English,1,3,Female,41,32,Yes,"At first I interpreted the questions one way, and then midway through the experiment, I interpreted them a different way. "
English,1,-1,Male,56,33,Yes,
English,2,1,Female,58,34,Yes,This was interesting. Thanks for the opportunity to take part in your study.
English,1,4,Male,36,35,Yes,
English,2,4,Female,26,36,Yes,
English,1,3,Male,27,37,Yes,
english,1,3,Female,24,38,Yes,
English,1,1,Male,30,39,Yes,thanks
English,2,3,Female,53,40,Yes,It was very fun and quick.
English,2,4,Female,45,41,Yes,very good
English,2,3,Male,28,42,Yes,
English,2,3,Male,21,43,Yes,
,-1,-1,,,44,,
English,2,3,Female,39,45,Yes,
english,2,3,Female,44,46,Yes,none
English,1,1,Female,28,47,Yes,
English,1,3,Male,27,48,Yes,
english,1,3,Female,25,49,Yes,none
ENGLISH,2,4,Male,27,50,Yes,NICE SURVEY
English,1,2,Male,30,51,Yes,
English,1,2,Female,36,52,Yes,"Most of them he was technically right, but it could be interpreted two ways."
English,1,3,Female,33,53,Yes,
English,2,3,Male,31,54,No,
English,1,3,Male,39,55,Yes,
English,1,2,Female,83,56,Yes,It was the same method I used when teaching in the second grade to see if everyone paid attention to the stories.
"English, Greek",2,3,Female,31,57,Yes,
English,1,1,Male,28,58,Yes,
english,1,3,Male,28,59,Yes,
English,1,2,Female,23,60,Yes,
English,1,1,Female,41,61,Yes,
english,2,4,Male,28,62,Yes,nice experiment
English,2,1,Female,32,63,Yes,
United States,1,2,Male,29,64,Yes,
English,2,3,Male,29,65,Yes,good
English,1,4,Female,46,66,Yes,
English,2,1,Female,68,67,Yes,
English,2,3,Female,33,68,Yes,
,2,3,Male,56,69,Yes,
English,1,3,Male,31,70,Yes,It was interesting and fun.
English,2,1,Female,43,71,Yes,
english,2,3,Male,50,72,Yes,I like it logic is a bit different than everyday items.
ENGLISH,2,3,Male,25,73,Yes,iNTERSTING
english,2,3,Male,39,74,Yes,
English,2,3,Male,25,75,Yes,Interesting survey
